,en_a_01,en_a_11,en_a_12,a_01_det,a_11_det,a_12_det,multiple_det,a01_vel,a11_vel,a12_vel
9373,3.7453229998187862,0.018201512557229498,5.414475487623984,2.0,2.0,,True,[ 1.46214143  1.22185732 -1.78362192],[ 1.37997688  1.31845842 -1.78028964],[-1.29607287 -1.09266187  1.98453651]
9509,3.7204201070788727,2.2981299240639155,3.1594499688572126,4.0,1.0,,True,[-1.24335318 -1.23824551 -1.93207684],[ 1.21704255 -1.24672746  1.94334199],[0.31125018 2.40697688 0.9600446 ]
9593,3.7565298607663116,0.06423367990009968,5.357236459333589,2.0,,6.0,True,[ 1.41612231  1.36312889 -1.71714218],[1.01594395 2.34826666 0.51536549],[-1.29707873 -1.39859135  1.78146821]
9695,3.745414734999116,0.04767680410861697,5.384908460892268,5.0,,1.0,True,[-1.34517795  1.35027145 -1.78307692],[-1.99058336  1.66218901  0.29462786],[ 1.30916785 -1.28251567  1.85831459]
9834,4.413969311538574,1.6283804013537864,3.13565028710764,7.0,6.0,,True,[-1.35990133  1.2113154   1.86962118],[-1.28574043 -1.3456378   1.82981705],[ 2.54000709 -0.46745885  0.37675752]
9906,4.410271741415425,3.931358446791308,0.8363698117932681,0.0,,4.0,True,[1.31320252 1.28899232 1.85097216],[-0.80907226 -0.76574991  2.36032395],[-1.26142015 -1.29975131 -1.87924606]
9942,3.7148024747792587,3.4070703558474587,2.056127169373283,5.0,,6.0,True,[-1.16328908  1.26287735 -1.9657058 ],[ 2.2962389  -0.24583781  1.21612116],[-1.39223414 -1.38102093  1.722372  ]
9966,3.7386076216813384,2.15620148580912,3.2831908925095417,2.0,1.0,,True,[ 1.23157454  1.40355639 -1.82355521],[ 1.31773635 -1.31849167  1.82681434],[-2.38210509 -0.4292424   0.9764355 ]
10064,4.381892634549779,3.1804870049785285,1.6156203604716937,1.0,,0.0,True,[ 1.36547019 -1.42570113  1.70732757],[-2.48148323  0.8032853   0.095256  ],[1.23291548 1.22089481 1.94972698]
10112,3.641293030785167,1.1850699169452164,4.351637052269617,,6.0,0.0,True,[-0.78073743 -0.62567471 -2.41061823],[-1.44701646 -1.32174252  1.72372854],[1.4693035  1.26208599 1.74939595]
10159,4.396524586497417,4.594934918477651,0.18654049502493297,6.0,0.0,,True,[-1.36223718 -1.33516229  1.7815026 ],[1.27454191 1.35446767 1.83113633],[ 1.98748094  1.42557462 -0.91090972]
10198,5.613524819783466,2.2136723354929893,1.3508028447235452,4.0,,0.0,True,[-1.33477035 -1.23514187 -1.8721412 ],[1.10305535 0.93540232 2.17264617],[1.30892331 1.3204464  1.83173171]
10242,3.715676633294212,2.232884113249075,3.229439253456714,3.0,6.0,,True,[ 1.15415283 -1.27929316 -1.9604694 ],[-1.24197332 -1.23418224  1.93556103],[-0.20527639  2.39846519  1.00862597]
10280,3.759087879489443,5.379296325080153,0.03961579543040372,2.0,6.0,,True,[ 1.41999634  1.37801281 -1.70199621],[-1.2154227  -1.37104733  1.85878371],[-1.28278113  0.98734399  2.04737012]
10301,4.430110980814138,2.8768078783466744,1.871081140839188,7.0,,0.0,True,[-1.193231    1.25796131  1.95085446],[ 0.39035904 -2.55356727  0.37284587],[1.35202308 1.23067536 1.86267865]
10328,4.414485564716069,4.5925980258604735,0.17091640942345876,7.0,1.0,,True,[-1.3169267   1.25402646  1.87222374],[ 1.20949212 -1.33419045  1.8892233 ],[ 2.25616051 -1.20255005 -0.52508393]
10578,3.636557830599156,4.150099214948413,1.3913429544524316,,0.0,6.0,True,[-0.59728563 -0.70974412 -2.43959283],[1.35853328 1.4299923  1.70927159],[-1.38066516 -1.32226941  1.77692638]
